id,gender,income,days_on_platform,purchases,city_London,city_Miami,city_New York City,city_San Francisco,city_Tokyo
399,1,134452,26.0,1,0,0,0,1,0
400,0,63731,35.0,1,0,0,0,1,0
401,1,32823,6.0,0,0,1,0,0,0
402,1,237764,12.0,3,0,1,0,0,0
403,0,78160,37.0,0,0,0,1,0,0
404,0,20232,59.0,0,0,0,0,1,0
405,0,179046,58.0,0,0,1,0,0,0
406,1,66360,21.0,3,0,0,0,1,0
407,0,14016,32.0,0,0,0,0,1,0
408,0,146427,1.0,1,0,1,0,0,0
409,0,38068,7.0,0,0,1,0,0,0
410,0,65481,41.0,2,0,0,0,1,0
411,0,39237,25.0,0,0,0,0,0,1
412,1,60688,9.0,1,0,0,1,0,0
413,1,62800,53.0,1,0,0,1,0,0
414,0,52787,2.0,0,1,0,0,0,0
415,0,133931,28.0,0,0,0,0,0,1
416,0,19356,21.0,0,0,0,0,0,1
417,1,170552,16.0,1,0,0,0,0,1
418,0,27132,6.0,1,0,0,0,1,0
419,0,103513,45.0,2,1,0,0,0,0
420,0,109813,21.0,0,0,1,0,0,0
421,1,118006,6.0,2,0,0,0,0,1
422,0,19178,19.0,2,0,0,0,1,0
424,0,48084,34.0,2,1,0,0,0,0
425,0,13772,4.0,0,0,0,0,0,1
426,0,3774,1.0,0,0,0,0,1,0
427,1,252340,5.0,1,0,1,0,0,0
428,1,1722,56.0,1,1,0,0,0,0
429,0,105860,46.0,0,1,0,0,0,0
430,1,50570,26.0,1,0,0,0,1,0
431,0,141341,6.0,0,1,0,0,0,0
432,1,64812,11.0,0,0,1,0,0,0
433,0,9781,19.0,1,0,0,0,0,1
434,0,43630,17.0,1,0,0,1,0,0
435,0,71157,31.0,2,1,0,0,0,0
436,1,150430,14.0,1,0,0,0,0,1
437,0,107387,21.0,2,1,0,0,0,0
438,1,137796,31.0,4,0,0,0,1,0
439,0,95735,8.0,2,1,0,0,0,0
440,0,28803,32.0,0,0,0,1,0,0
441,0,155813,37.0,3,0,0,0,1,0
442,0,42544,56.0,2,0,1,0,0,0
443,1,26108,36.0,0,0,1,0,0,0
444,1,35047,7.0,1,1,0,0,0,0
445,0,236562,4.0,2,1,0,0,0,0
446,1,17246,32.0,2,0,0,0,0,1
447,0,77084,29.0,1,0,0,0,0,1
448,1,127380,36.0,1,0,0,0,1,0
449,0,3152,29.0,1,0,0,0,0,1
450,0,114026,14.0,2,1,0,0,0,0
451,1,7518,23.0,1,0,0,0,0,1
452,0,132358,7.0,3,0,0,0,0,1
453,1,7553,23.0,0,0,1,0,0,0
454,0,111270,33.0,1,0,0,0,1,0
456,0,5952,12.0,0,0,1,0,0,0
457,1,68552,9.0,4,0,1,0,0,0
458,1,45042,26.0,0,0,0,0,0,1
459,0,56425,33.0,3,1,0,0,0,0
460,1,34393,10.0,2,0,1,0,0,0
461,1,211522,9.0,0,0,0,0,1,0
462,1,75745,9.0,0,0,0,0,0,1
463,1,36337,16.0,0,0,0,0,0,1
464,1,38407,3.0,2,0,0,0,0,1
465,0,26204,10.0,0,0,1,0,0,0
466,0,172528,7.0,1,0,0,1,0,0
467,1,15672,8.0,1,0,1,0,0,0
468,0,11015,31.0,0,0,0,0,1,0
469,1,216308,27.0,1,0,0,0,0,1
470,1,5837,39.0,2,0,1,0,0,0
471,1,70171,3.0,0,0,1,0,0,0
472,0,48670,8.0,0,0,1,0,0,0
473,0,224376,26.0,0,0,0,1,0,0
474,1,42930,26.0,2,0,0,0,0,1
475,1,34303,10.0,1,0,0,0,1,0
476,0,241202,32.0,0,0,0,0,1,0
477,0,70082,23.0,0,0,1,0,0,0
478,0,12882,53.0,1,0,0,0,0,1
479,1,210018,34.0,0,0,0,0,1,0
480,1,184569,12.0,0,0,1,0,0,0
481,1,241417,12.0,1,0,0,0,0,1
482,0,90765,21.0,2,1,0,0,0,0
483,1,18141,2.0,4,1,0,0,0,0
484,0,55779,44.0,4,0,1,0,0,0
485,1,130753,46.0,6,1,0,0,0,0
486,0,174745,9.0,5,1,0,0,0,0
487,1,116027,26.0,1,0,1,0,0,0
488,1,86885,40.0,0,0,0,1,0,0
489,0,242122,35.0,0,0,0,0,1,0
490,1,41011,18.0,0,0,0,1,0,0
491,1,84362,14.0,1,1,0,0,0,0
492,0,48341,44.0,1,0,0,0,1,0
493,1,46077,2.0,1,0,0,1,0,0
494,1,165877,47.0,1,0,0,0,0,1
495,0,174054,1.0,0,0,1,0,0,0
496,0,5743,13.0,0,1,0,0,0,0
497,0,51563,59.0,1,0,0,0,1,0
498,1,39860,29.0,0,0,0,0,1,0
499,0,7475,4.0,0,1,0,0,0,0
500,0,55262,32.0,1,1,0,0,0,0
501,0,138484,20.0,0,1,0,0,0,0
502,1,103353,35.0,1,0,0,0,0,1
503,0,26634,35.0,1,1,0,0,0,0
504,0,70504,52.0,1,0,0,0,0,1
505,0,60944,10.0,0,0,0,0,1,0
506,0,156382,31.0,0,0,0,0,0,1
507,0,6536,23.0,1,1,0,0,0,0
508,1,29339,5.0,0,1,0,0,0,0
509,0,38872,16.0,1,0,0,1,0,0
510,0,7397,57.0,0,0,0,0,1,0
511,1,129025,59.0,1,0,0,0,0,1
512,0,65428,3.0,2,0,0,1,0,0
513,0,86580,27.0,0,0,0,0,1,0
514,0,26867,25.0,4,0,1,0,0,0
515,0,84225,19.0,0,1,0,0,0,0
516,0,104856,44.0,3,1,0,0,0,0
517,0,244077,26.0,1,0,0,0,1,0
518,1,41679,2.0,0,0,0,0,0,1
519,0,12821,7.0,3,0,0,1,0,0
520,1,86986,30.0,0,0,0,0,1,0
521,1,52124,28.0,0,0,0,0,1,0
522,0,33672,26.0,0,0,0,0,0,1
523,0,40479,30.0,1,0,0,1,0,0
524,1,58079,47.0,2,1,0,0,0,0
525,1,21763,12.0,0,0,1,0,0,0
526,1,98451,36.0,1,0,0,0,1,0
527,0,149712,54.0,1,0,0,0,0,1
528,0,86520,40.0,0,0,0,1,0,0
529,1,120153,17.0,1,0,0,0,1,0
530,0,61198,14.0,0,1,0,0,0,0
531,1,158433,6.0,0,0,0,1,0,0
532,0,36961,46.0,1,0,0,0,1,0
533,0,31158,37.0,0,0,0,1,0,0
534,1,174942,8.0,2,0,0,1,0,0
535,1,769,2.0,2,0,1,0,0,0
536,0,100787,4.0,2,1,0,0,0,0
537,0,1343,12.0,0,0,0,0,1,0
538,0,197832,15.0,2,0,1,0,0,0
539,1,78516,40.0,3,0,1,0,0,0
540,1,144969,59.0,0,0,1,0,0,0
541,0,174518,17.0,1,0,0,0,1,0
542,1,30478,31.0,1,0,0,0,0,1
543,1,161283,16.0,0,1,0,0,0,0
544,0,70143,59.0,1,0,0,0,1,0
545,1,184482,7.0,0,0,0,0,1,0
546,0,59281,1.0,3,0,1,0,0,0
547,1,61567,7.0,0,1,0,0,0,0
548,0,45547,13.0,2,0,0,0,0,1
549,0,78351,47.0,0,0,0,1,0,0
550,0,9642,28.0,3,0,0,0,0,1
551,0,130380,31.0,1,0,0,0,1,0
552,1,200937,21.0,2,0,0,0,1,0
553,1,40606,18.0,1,0,1,0,0,0
554,0,100959,7.0,0,0,1,0,0,0
555,0,33423,15.0,0,0,0,0,1,0
556,1,6677,3.0,0,0,1,0,0,0
557,0,34061,21.0,0,1,0,0,0,0
558,0,129809,6.0,0,0,0,0,0,1
559,0,95358,10.0,0,1,0,0,0,0
560,0,158214,52.0,1,0,1,0,0,0
561,0,159946,33.0,0,0,0,1,0,0
562,0,21555,4.0,0,1,0,0,0,0
563,0,29036,4.0,3,0,0,1,0,0
564,0,5123,4.0,1,0,0,1,0,0
565,0,19865,14.0,4,0,0,0,0,1
566,1,159529,26.0,1,0,1,0,0,0
567,1,47295,48.0,0,0,0,0,1,0
568,0,34813,12.0,2,1,0,0,0,0
569,0,169156,9.0,1,0,1,0,0,0
570,0,160093,9.0,1,1,0,0,0,0
571,1,65150,13.0,0,0,0,0,0,1
572,0,136320,21.0,2,0,0,0,1,0
573,0,22409,9.0,0,1,0,0,0,0
574,0,77833,46.0,0,0,0,1,0,0
575,1,38288,58.0,0,0,0,0,1,0
576,1,85401,3.0,1,0,0,0,1,0
577,0,118392,46.0,2,0,0,0,1,0
578,0,50254,26.0,1,0,0,1,0,0
579,0,173543,59.0,0,0,0,1,0,0
580,1,98269,10.0,0,1,0,0,0,0
581,0,6289,6.0,0,1,0,0,0,0
582,0,156242,42.0,0,0,0,1,0,0
583,1,230211,21.0,0,0,0,0,0,1
584,0,67753,18.0,0,0,0,0,0,1
585,1,77614,38.0,1,0,0,0,0,1
586,1,95559,7.0,0,0,0,0,1,0
587,0,55193,7.0,0,0,0,0,1,0
588,0,51868,1.0,0,0,0,0,0,1
589,0,60193,11.0,1,1,0,0,0,0
590,0,61797,3.0,0,0,0,0,1,0
591,0,60407,15.0,1,0,0,0,0,1
592,0,43721,9.0,3,0,0,0,0,1
593,1,52996,33.0,0,0,0,0,1,0
594,0,82661,3.0,1,0,0,0,1,0
595,1,60661,5.0,3,0,0,0,0,1
596,1,51073,2.0,2,0,1,0,0,0
597,0,33324,37.0,0,1,0,0,0,0
598,0,7140,48.0,1,0,1,0,0,0
599,0,145295,19.0,0,0,0,0,1,0
600,1,69828,24.0,2,1,0,0,0,0
601,0,38090,27.0,0,0,1,0,0,0
602,0,101592,15.0,1,0,0,0,0,1
603,0,12176,15.0,2,0,0,1,0,0
604,1,32875,33.0,0,0,1,0,0,0
605,1,83143,50.0,2,0,0,1,0,0
606,0,13816,5.0,4,0,0,1,0,0
607,0,79668,25.0,0,1,0,0,0,0
608,0,34006,33.0,3,0,0,0,0,1
